LONGITUD,LATITUD
-102.308886,21.867927
-102.304885,21.864456
-102.298275,21.866103
-102.304809,21.858912
-102.318157,21.868018
-102.297112,21.858489
-102.306460,21.858506
-102.319267,21.849068
-102.317873,21.866268
-102.308258,21.845207
-102.312883,21.873862
-102.312883,21.873862
-102.317611,21.864880
-102.317611,21.864880
-102.310620,21.864978
-102.317105,21.854187
-102.311917,21.874191
-102.313997,21.859181
-102.318370,21.873924
-102.316984,21.861690
-102.313392,21.869986
-102.317721,21.865972
-102.319873,21.865796
-102.315127,21.872979
-102.309924,21.866162
-102.302942,21.866913
-102.300709,21.860564
-102.318724,21.872168
-102.296952,21.862720
-102.311787,21.862988
-102.313237,21.852607
-102.308888,21.867929
-102.301656,21.871384
-102.297365,21.858779
-102.311154,21.871699
-102.317346,21.863253
-102.298423,21.865300
-102.302915,21.873446
-102.303394,21.864795
-102.311916,21.874191
-102.300923,21.852278
-102.314735,21.857805
-102.300057,21.864896
-102.303006,21.869778
-102.296445,21.871252
-102.322373,21.871379
-102.301474,21.871801
-102.296314,21.870276
-102.305392,21.872039
-102.297730,21.871066
-102.317873,21.866269
-102.320025,21.864887
-102.310379,21.851704
-102.306800,21.853490
-102.334788,21.863952
-102.315549,21.856588
-102.314217,21.852904
-102.316661,21.866478
-102.317612,21.864881
-102.315128,21.872980
-102.314381,21.858324
-102.324333,21.862854
-102.322372,21.871378
-102.331407,21.865582
-102.311016,21.851550
-102.315127,21.872979
-102.306460,21.858506
-102.303485,21.864266
-102.308183,21.875190
-102.318157,21.868018
-102.318221,21.851664
-102.300709,21.860564
-102.329257,21.868855
-102.315009,21.870152
-102.311153,21.871697
-102.306629,21.854610
-102.311917,21.874191
-102.300749,21.873629
-102.314183,21.858803
-102.300709,21.860564
-102.316700,21.860667
-102.298951,21.859623
-102.298423,21.865300
-102.316046,21.855883
-102.312150,21.868332
-102.327939,21.867923
-102.311917,21.874191
-102.300709,21.860564
-102.311917,21.874191
-102.313997,21.859181
-102.319531,21.865538
-102.307391,21.851036
